[2025-03-20 00:25:28,841] 24 root - INFO - Initiating data ingestion
[2025-03-20 00:25:29,060] 27 root - INFO - Data ingestion successful
[2025-03-20 00:25:30,236] 31 root - INFO - Data saved at: artifacts\raw_data.csv
[2025-03-20 00:25:30,236] 34 root - INFO - Splitting data into train and test
[2025-03-20 00:25:30,267] 36 root - INFO - Data split successful
[2025-03-20 00:25:31,475] 43 root - INFO - Train data saved at: artifacts\train_data.csv
[2025-03-20 00:25:31,475] 44 root - INFO - Test data saved at: artifacts\test_data.csv
[2025-03-20 00:25:31,475] 36 root - INFO - Initiating data transformation
[2025-03-20 00:25:31,726] 41 root - INFO - Data loaded successfully
[2025-03-20 00:25:31,726] 74 root - INFO - Initiating data transformation
[2025-03-20 00:25:31,726] 85 root - INFO - Pipeline Initiated
[2025-03-20 00:25:32,102] 53 root - INFO - Data transformation successful
[2025-03-20 00:25:32,102] 64 root - INFO - Preprocessor object saved at: artifacts\preprocessor.pkl
[2025-03-20 00:25:32,118] 26 root - INFO - Splitting data into train and test
[2025-03-20 00:25:33,137] 42 root - INFO - Model Report: {'LinearRegression': 0.9361253831282493, 'Lasso': 0.9361107946795251, 'Ridge': 0.9361250094980922}
[2025-03-20 00:25:33,874] 50 root - INFO - Best Model: LinearRegression with R2 Score: 0.9361253831282493
[2025-03-20 00:25:33,874] 23 root - INFO - Model Evaluation initiated
[2025-03-20 00:25:33,889] 34 root - INFO - Model Started successfully
[2025-03-20 00:25:34,532] 51 root - INFO - Error in data ingestion: 'NoneType' object does not support item assignment
